"Names","Code_Names"
"Patient ID","patient_id"
"RCE Procedure #","rce_procedure_number"
"alloab (1=yes, 0=no)","alloab_1_yes_0_no"
"Date of RCE","date_of_rce"
"Days between exchanges","days_between_exchanges"
"# ED Visit Since Previous RCE?","number_ed_visit_since_previous_rce"
"1 or greater?  Indicate reason(s)...7","x1_or_greater_indicate_reason_s_7"
"If Other, List...8","if_other_list_8"
"# Hospitalizations Since Previous RCE?","number_hospitalizations_since_previous_rce"
"1 or greater?  Indicate reason(s)...10","x1_or_greater_indicate_reason_s_10"
"If Other, List...11","if_other_list_11"
"# Urgent Clinic Visits Since Previous RCE?","number_urgent_clinic_visits_since_previous_rce"
"1 or greater?  Indicate reason                         (select all that apply)","x1_or_greater_indicate_reason_select_all_that_apply"
"If Other, List...14","if_other_list_14"
"Simple RBC Transfusion Since Previous RCE?","simple_rbc_transfusion_since_previous_rce"
"Urgent/Emergent RCE Since Previous RCE?","urgent_emergent_rce_since_previous_rce"
"Addition of any of the following since enrollment?  Hydroxyurea, L-glutamine, Pentoxifylline, Voxelotor, Crizanlizumab","addition_of_any_of_the_following_since_enrollment_hydroxyurea_l_glutamine_pentoxifylline_voxelotor_crizanlizumab"
"If Yes, select all that apply...18","if_yes_select_all_that_apply_18"
"Goal/Target Post-RCE HCT (%)","goal_target_post_rce_hct_percent"
"Goal/Target Post-RCE HbS   (%)","goal_target_post_rce_hb_s_percent"
"Pre-RCE Type & Screen:                       New RBC Alloantibodies?","pre_rce_type_screen_new_rbc_alloantibodies"
"If Yes,                    select all that apply","if_yes_select_all_that_apply"
"Pre-RCE Elevated Reticulocytes?","pre_rce_elevated_reticulocytes"
"Pre-RCE WBC (x 109/L)","pre_rce_wbc_x_109_l"
"Pre-RCE Hb (g/dL)","pre_rce_hb_g_d_l"
"Pre-RCE HCT    (%)","pre_rce_hct_percent"
"Pre-RCE HbA1 (%)","pre_rce_hb_a1_percent"
"Pre-RCE HbA2 (%)","pre_rce_hb_a2_percent"
"Pre A %","pre_a_percent"
"Pre-RCE HbF (%)","pre_rce_hb_f_percent"
"Pre-RCE HbS (%)","pre_rce_hb_s_percent"
"Pre-RCE HbC (%)","pre_rce_hb_c_percent"
"Pre-RCE Other Hb Species (ID, %)","pre_rce_other_hb_species_id_percent"
"Post-RCE WBC   (x 109/L)","post_rce_wbc_x_109_l"
"Post-RCE Hb (g/dL)","post_rce_hb_g_d_l"
"Post-RCE HCT (%)","post_rce_hct_percent"
"Post-RCE HbA1 (%)","post_rce_hb_a1_percent"
"Post-RCE HbA2 (%)","post_rce_hb_a2_percent"
"Post A %","post_a_percent"
"Post-RCE HbF (%)","post_rce_hb_f_percent"
"Post-RCE HbS (%)","post_rce_hb_s_percent"
"Post-RCE HbC (%)","post_rce_hb_c_percent"
"Post S/C","post_s_c"
"Post-RCE Other Hb Species     (ID, %)","post_rce_other_hb_species_id_percent"
"DHTR Likelihood- nomogram results","dhtr_likelihood_nomogram_results"
"# of RBC Units Used in RCE","number_of_rbc_units_used_in_rce"
"Total PRBC Volume Used in RCE (mL)","total_prbc_volume_used_in_rce_m_l"
"FCR%","fcr_percent"
"# RBC Units Irradiated","number_rbc_units_irradiated"
"# RBC Units Washed","number_rbc_units_washed"
"Determine the ages for all RBC units used during a RCE procedure performed on a specific date for this patient in the ""RBC Unit Age Calculator Sheet"" in this MS Excel file.                                        *Please 'copy and paste' to create a new RBC Calculator Sheet of RBC data for every procedure (e.g., if you have 12 RCE procedures for a patient, there will be 12 RBC Unit Age Calculator Sheets.","determine_the_ages_for_all_rbc_units_used_during_a_rce_procedure_performed_on_a_specific_date_for_this_patient_in_the_rbc_unit_age_calculator_sheet_in_this_ms_excel_file_please_copy_and_paste_to_create_a_new_rbc_calculator_sheet_of_rbc_data_for_every_procedure_e_g_if_you_have_12_rce_procedures_for_a_patient_there_will_be_12_rbc_unit_age_calculator_sheets"
"Any Transfusion Reactions?","any_transfusion_reactions"
"If Yes, select all that apply...53","if_yes_select_all_that_apply_53"
"If Other, List...54","if_other_list_54"
"RCE Procedure Completed?","rce_procedure_completed"
"Any Additional Comments?","any_additional_comments"
"difference between procedure times","DIFF_Between_RCE"
"difference between procedure times","DIFF_Between_RCE"
